user,dataID,filename,Question_1_1_1,Question_1_2_1,Question_1_2_2,Question_1_3_1,Question_2_1_1,Question_2_2_1,Question_3_1_1,Question_3_2_1,Question_3_3_1,Question_4_1_1,Question_4_2_1,Question_4_3_1,Question_5_1_1,Question_5_2_1,Question_5_3_1,Question_5_4_1,Question_5_5_1,Question_6_1_1,Question_6_2_1,Question_6_3_1,Question_6_4_1,Question_6_5_1,Question_7_1_1,Question_7_2_1,Question_7_3_1,Question_8_1_1,Question_8_2_1,Question_9_1_1,work_length,message
0,83910200,Schubert_D960_mv2_8bars_1_10.wav,6,,,,3,3,2,6,3,6,2,2,5,6,5,7,5,2,3,2,6,0,2,3,5,5,5,6,70,의도적으로 중의감있게 음원을 만들어 놓은 느낌?!
0,83910260,Schubert_D960_mv2_8bars_2_02.wav,1,6.0,,,5,1,2,6,3,6,2,2,6,2,2,2,2,5,2,1,6,2,2,3,5,3,3,2,55,선지를 고르기 쉬웠다
0,83910283,Schubert_D960_mv2_8bars_4_14.wav,3,,,,6,1,2,6,6,2,6,4,2,3,2,5,6,6,3,5,3,5,3,6,6,2,2,6,70,주관이 크게 작용할것 같다는 느낌
0,83910323,Schubert_D960_mv2_8bars_5_09.wav,2,,,,2,3,1,6,6,3,3,3,5,3,5,6,6,3,2,2,6,3,2,3,3,6,3,3,90,각 항목에따라 다시 듣느라 다시듣기를 여러번 했다
0,83910373,Schubert_D960_mv2_8bars_Score_10.wav,3,,,,6,2,2,6,5,2,5,1,3,2,6,6,7,2,3,3,3,5,2,2,3,7,7,5,50,선택하기 비교적 쉬웠다
1,83917952,Schubert_D960_mv2_8bars_Score_10.wav,3,,,,6,2,3,2,5,2,6,5,5,2,3,3,6,5,3,5,2,3,3,5,5,2,3,5,30,"부드러우면서도 약간의 역동적인 느낌이 들었다.
듣는 내내 내 생각에서 약간의 모순적인 생각이 드는 연주였다."
0,83918118,Schubert_D960_mv2_8bars_5_13.wav,3,,,,2,3,2,6,3,5,2,5,6,5,5,2,2,6,2,3,6,2,6,3,3,3,3,3,100,
0,83918275,Schubert_D960_mv2_8bars_0_07.wav,2,,,,3,2,2,3,2,5,3,2,5,5,2,2,3,2,2,3,3,3,2,2,2,5,5,2,50,
0,83918285,Schubert_D960_mv2_8bars_4_13.wav,6,,,,1,5,2,3,2,6,1,5,7,6,6,3,1,5,2,2,6,3,6,2,2,2,2,1,60,
0,83918290,Schubert_D960_mv2_8bars_Score_01.wav,5,,,,5,6,2,6,6,2,6,6,2,5,6,5,7,5,6,6,2,5,6,5,3,7,7,6,80,
0,83918304,Schubert_D960_mv2_8bars_Score_15.wav,3,,,,6,6,5,3,2,3,4,6,4,5,6,6,5,3,6,5,5,5,6,2,2,5,5,7,90,앞과 뒤가 너무 달라서 어느곳에 초점을 맞춰 답변해야할지 어려웠다
0,83918323,Schubert_D960_mv2_8bars_3_07.wav,2,,,,2,2,1,3,3,6,1,1,6,6,2,1,2,3,1,1,7,1,1,2,2,3,3,1,90,
0,83918338,Schubert_D960_mv2_8bars_Score_03.wav,2,,,,6,6,1,7,7,1,7,3,2,1,7,7,6,3,7,6,1,7,3,2,3,7,7,7,100,
4,83928721,Schubert_D960_mv2_8bars_Score_10.wav,6,,,,5,6,3,6,6,1,6,2,2,2,6,6,6,2,6,6,2,6,2,3,4,6,6,6,60,
4,83928724,Schubert_D960_mv2_8bars_5_13.wav,5,,,,2,6,2,3,2,6,2,3,7,6,2,2,1,5,3,2,6,2,3,2,3,2,3,2,60,
4,83928726,Schubert_D960_mv2_8bars_0_07.wav,7,,6.0,,2,3,1,6,5,2,6,1,3,2,6,5,7,2,6,3,2,6,1,3,3,7,6,7,90,Flowing/Choppy를 고르기에는 음원 길이가 다소 짧은 것 같습니다...
4,83928730,Schubert_D960_mv2_8bars_4_13.wav,6,,,,2,6,5,2,2,5,2,2,5,6,3,3,2,7,6,2,5,3,3,2,3,2,3,4,45,37초 부근 페달 한 번이 조금 깔끔하지 않았는데 나머지는 깔끔해서 일단 깔끔함에 체크했습니다
4,83928739,Schubert_D960_mv2_8bars_Score_01.wav,2,,,,3,6,2,6,5,2,2,5,5,2,6,6,5,5,7,6,2,6,5,2,3,5,5,5,75,
0,83928780,Schubert_D960_mv2_8bars_4_16.wav,5,,,,2,2,3,6,5,2,3,3,3,3,3,2,6,6,2,3,5,3,3,5,6,3,3,3,120,
0,83928788,Schubert_D960_mv2_8bars_4_07.wav,3,,,,3,2,2,6,3,5,3,1,5,6,3,2,5,2,3,3,5,3,2,3,5,5,6,3,120,
0,83928797,Schubert_D960_mv2_8bars_1_16.wav,2,,,,6,5,7,2,6,2,7,3,2,2,6,7,7,6,6,6,1,6,3,7,7,7,7,7,100,
0,83928806,Schubert_D960_mv2_8bars_3_13.wav,2,,,,7,7,7,2,6,2,7,5,1,5,6,6,7,4,6,5,1,7,5,3,5,6,7,7,100,
0,83928814,Schubert_D960_mv2_8bars_1_07.wav,3,,,,2,1,1,6,2,3,5,2,2,3,5,6,7,2,3,5,2,6,2,5,6,6,7,7,100,
0,83928818,Schubert_D960_mv2_8bars_1_09.wav,5,,,,3,5,3,3,2,5,2,3,6,6,3,2,2,3,3,3,6,3,3,2,2,3,3,2,100,
0,83928823,Schubert_D960_mv2_8bars_0_03.wav,2,,,,5,3,3,4,3,3,5,3,3,2,3,5,6,6,5,6,3,6,3,5,6,6,6,6,130,
0,83928831,Schubert_D960_mv2_8bars_5_06.wav,3,,,,2,2,2,3,2,6,2,2,5,2,3,2,3,3,3,2,5,2,3,3,3,3,2,2,120,
0,83928836,Schubert_D960_mv2_8bars_3_12.wav,3,,,,6,6,7,1,1,3,6,3,2,2,7,7,5,3,6,6,1,7,6,6,7,3,5,7,100,
0,83928844,Schubert_D960_mv2_8bars_5_08.wav,3,,,,2,2,2,6,3,6,2,2,6,6,1,1,1,4,1,1,7,1,2,1,1,2,2,1,120,
0,83928849,Schubert_D960_mv2_8bars_3_06.wav,2,,,,6,3,3,5,1,5,3,2,5,5,5,6,3,3,2,3,5,4,3,2,2,5,5,3,120,
0,83928860,Schubert_D960_mv2_8bars_3_01.wav,7,,3.0,,7,7,7,1,1,1,7,5,1,1,7,7,7,7,7,7,1,7,5,7,7,7,7,7,100,
0,83928867,Schubert_D960_mv2_8bars_1_05.wav,6,,,,6,5,3,6,5,2,6,6,3,3,5,5,6,2,6,6,2,5,6,5,6,6,6,6,100,
1,83929058,Schubert_D960_mv2_8bars_5_13.wav,1,6.0,,,6,1,1,1,6,1,1,1,5,6,1,1,6,6,1,1,6,1,1,4,1,1,1,1,30,앞과뒤의 표현자체를 크게 했더라면 음악이 더 재밌게 느껴졌을 것 같다.
1,83929070,Schubert_D960_mv2_8bars_0_07.wav,1,1.0,,,1,1,1,6,5,6,1,1,1,6,1,1,6,4,1,1,6,1,1,1,1,1,1,1,30,"음원의 길이가 짧아 아쉬웠지만, 그 안에서 미리 맞는 봄을 느낄 수 있었다
"
1,83929086,Schubert_D960_mv2_8bars_4_13.wav,1,1.0,,,1,1,1,1,4,1,1,1,3,4,2,2,2,2,3,3,4,3,1,1,1,3,4,2,30,다이나믹의 요소를 더욱 극적이게 표현을 했더라면 더 멋진 연주가 되었을 것 같은 아쉬움이 남았다.
1,83929108,Schubert_D960_mv2_8bars_Score_01.wav,1,1.0,,,5,4,5,2,2,1,4,3,1,1,2,4,5,4,4,4,1,4,2,5,4,5,5,5,30,다이나믹의 요소가 하나도 안느껴졌다. 베이스의 음이 더 극적이고 오른손이 더욱 심플하게 연주가 되었더라면 더 좋았을 것 같다.
1,83929123,Schubert_D960_mv2_8bars_Score_15.wav,1,1.0,,,5,4,5,5,4,1,5,4,1,1,4,5,4,5,4,5,1,4,4,5,4,5,5,4,30,터치감에 있어 광장히 기계적으로 들렸다. 피아노의 울림을 기다려주는 시간이 감정을 표현하기 좋았을 것 같다.
1,83929129,Schubert_D960_mv2_8bars_3_07.wav,1,1.0,,,3,5,5,1,4,5,6,1,1,4,1,1,5,4,1,1,4,1,1,5,4,4,1,4,30,점점 더 빠르게 표현을 했으면 봄에 나비가 날개짓하는 모습이 연상 될 만큼의 아름다운 선율이었다.
1,83929139,Schubert_D960_mv2_8bars_Score_03.wav,1,6.0,,,1,1,1,6,4,1,1,1,1,4,1,1,1,4,1,1,6,1,1,1,1,1,1,1,30,"섬세한 터치가 굉장히 좋게 느껴졌다. 점점 커지지만, 너무 오바되지 않게 절제됨이 좋았다."
1,83929145,Schubert_D960_mv2_8bars_4_16.wav,1,6.0,,,1,1,1,6,4,1,1,1,1,2,1,1,1,4,1,1,6,1,1,1,1,1,1,1,30,"그간 몇몇 음원은 기계적인 느낌이 많았는데, 이 음원은 굉장히 따뜻한 감정이 느껴지는 터치감과 연주였다."
1,83929156,Schubert_D960_mv2_8bars_4_07.wav,1,6.0,,,4,1,1,1,4,5,1,1,5,5,1,1,5,4,1,1,6,1,1,1,1,1,1,1,30,역시 터치감과 감정이 굉장히 좋았다. 표현하고자 하는 것을 한 느낌이다. 
1,83929164,Schubert_D960_mv2_8bars_1_16.wav,1,6.0,,,1,1,1,6,4,1,1,1,1,1,1,1,5,5,1,5,6,1,1,2,2,1,1,1,30,페달로 피아노의 울림을 기다려주고 듣고 그에 대한 대답을 함으로서 피아노를 친다기 보다 피아노를 연주하는 듯한 느낌을 받았다.
1,83929169,Schubert_D960_mv2_8bars_3_13.wav,1,1.0,,,3,4,4,3,3,1,5,1,1,1,2,2,3,2,3,5,1,5,1,3,4,1,1,3,30,연주를 급하게 하는 듯한 느낌이 들었다. 
1,83929172,Schubert_D960_mv2_8bars_1_07.wav,1,2.0,,,1,1,5,2,4,1,2,1,2,1,5,2,3,2,2,2,1,2,1,2,2,1,1,3,30,"멜로디 자체는 신비롭고 몽상적이지만, 표현하고자 하기엔 너무 급하고 감정이 부족했기에 이 곡을 설명하기에 많이 부족하게 들렸다."
1,83929178,Schubert_D960_mv2_8bars_1_09.wav,1,6.0,,,3,1,1,1,3,1,2,2,5,5,2,1,3,3,1,1,5,1,1,1,3,1,1,3,30,"점점 세게의 표현이 좋았다. 더욱 세게 했어도 극적인 효과를 내어 더욱 좋았을 것 같은 아쉬움이 남지만, 감정을 전달하기에 좋았던 것 같다."
1,83929188,Schubert_D960_mv2_8bars_0_03.wav,1,6.0,,,1,1,1,6,6,1,1,1,6,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1,30,굉장히 좋았다. 여유롭고 부드러운 느낌이 고스라니 전해졌다.
1,83929195,Schubert_D960_mv2_8bars_5_06.wav,1,5.0,,,3,3,1,1,5,1,1,1,1,5,2,1,3,2,1,1,4,1,1,3,4,2,2,2,30,"기계적이진 않지만, 대학교 1학년 아이들의 위클리를 듣는 듯한 느낌이었다. 과감할 땐 과감하게 표현을 했으면 더 좋았을 것 같다. "
1,83929201,Schubert_D960_mv2_8bars_3_12.wav,1,6.0,,,3,1,1,1,4,1,1,1,1,1,1,1,1,4,1,1,6,1,1,1,1,1,1,1,30,음원이 짧아 아쉬울 정도의 연주였다. 
1,83929206,Schubert_D960_mv2_8bars_5_08.wav,1,1.0,,,3,2,1,1,4,1,3,2,1,1,1,3,3,3,2,2,2,2,2,3,3,3,3,3,45,아티큘레이션을 보여주기엔 다소 아쉬운 부분들이 많았다.
1,83929214,Schubert_D960_mv2_8bars_3_06.wav,1,2.0,,,3,3,3,2,3,1,6,1,1,1,3,2,3,3,2,1,1,2,1,3,3,3,3,3,45,왼손 베이스가 굉장히 무겁게 들리고 둔하게 들렸다. 오히려 일정하게 가벼운 터치를 했더라면 더 좋았을 것 같다.
1,83929220,Schubert_D960_mv2_8bars_3_01.wav,1,6.0,,,1,1,1,1,6,1,1,3,2,6,1,1,1,4,1,1,6,1,3,1,1,1,1,1,45,음악성이 굉장히 좋았다. 이 곡이 하고자 하는 이야기를 듣는 느낌이었다.
1,83929224,Schubert_D960_mv2_8bars_1_05.wav,1,2.0,,,3,5,3,2,5,1,5,3,1,1,3,3,3,3,3,6,1,2,3,3,3,5,5,3,45,메트로놈을 틀고 기계적으로 그 박자안에 음정들을 우겨 넣는 듯한 느낌이었다.
1,83929232,Schubert_D960_mv2_8bars_1_14.wav,1,6.0,,,1,1,1,6,4,1,1,1,1,6,1,1,1,5,1,1,6,1,1,3,1,1,1,1,45,페달의 울림을 더 느꼈으면 더 좋았을 것 같다. 그 울림만으로 그 곡을 채워도 좋을 것 같은데 섣부른 감이 없지않아 있었다. 그 여운을 즐겨도 될 것 같다.
1,83929244,Schubert_D960_mv2_8bars_3_16.wav,1,6.0,,,1,1,1,1,6,1,1,1,6,6,1,1,1,5,1,1,6,1,1,1,1,1,1,1,45,굉장히 좋았다. 특히 페달의 여운을 느낄 수 있어 좋았다.
1,83929249,Schubert_D960_mv2_8bars_2_14.wav,1,2.0,,,3,2,2,1,3,1,3,1,2,2,3,3,6,3,3,3,1,3,1,3,3,5,5,2,45,연주가 재미없게 들려졌다. 음악성을 더하면 더 좋을 것 같다.
1,83929254,Schubert_D960_mv2_8bars_0_01.wav,1,6.0,,,1,1,1,6,6,1,1,1,1,1,1,1,1,5,1,1,6,1,1,3,1,1,1,1,45,짧은 하나의 드라마처럼 느껴졌다. 곡에 대해 상상하고 생각해보게끔 하는 연주였다.
1,83929256,Schubert_D960_mv2_8bars_2_03.wav,1,1.0,,,2,5,3,3,3,1,5,2,1,1,3,3,4,2,3,3,1,3,3,3,3,6,6,2,45,오른손에 모래주머니를 달고 있는 듯한 터치감의 무거움이 전해진다. 둔탁하게 들려 몰입도를 방해하는 느낌이었다.
0,83929262,Schubert_D960_mv2_8bars_4_05.wav,6,,,,2,2,2,7,6,6,3,5,3,3,5,6,5,3,5,5,2,5,6,6,5,3,4,5,110,
0,83929358,Schubert_D960_mv2_8bars_1_14.wav,6,,,,2,2,2,5,6,2,2,3,5,3,2,2,6,5,3,3,6,2,3,5,5,3,3,3,120,
0,83929363,Schubert_D960_mv2_8bars_3_16.wav,6,,,,3,2,2,6,1,2,5,5,2,2,2,6,6,7,2,6,2,6,5,6,7,2,2,5,120,
0,83929370,Schubert_D960_mv2_8bars_2_14.wav,2,,,,2,3,2,3,6,2,5,3,5,3,2,2,3,4,2,3,7,2,3,2,2,2,1,2,130,
0,83929382,Schubert_D960_mv2_8bars_0_01.wav,6,,,,6,5,2,6,5,2,5,5,3,3,3,4,3,2,6,5,2,5,5,4,5,3,6,5,110,
4,83929656,Schubert_D960_mv2_8bars_Score_15.wav,5,,,,6,7,7,1,2,1,6,6,2,1,7,6,6,4,7,7,2,5,6,3,3,7,7,7,60,
4,83929660,Schubert_D960_mv2_8bars_3_07.wav,6,,,,2,3,2,5,6,5,3,1,5,5,3,3,5,2,2,2,5,3,2,3,6,3,6,3,75,
4,83929666,Schubert_D960_mv2_8bars_Score_03.wav,5,,,,3,6,1,7,6,1,6,2,3,2,7,6,5,6,6,5,2,5,2,3,5,6,5,5,60,
4,83929670,Schubert_D960_mv2_8bars_4_16.wav,6,,,,2,1,1,7,7,6,2,3,6,5,1,3,3,7,2,2,6,3,2,3,5,2,2,3,60,
4,83929673,Schubert_D960_mv2_8bars_4_07.wav,7,,2.0,,1,2,1,7,6,3,2,2,7,7,6,5,3,6,2,2,5,5,2,6,5,2,2,5,90,
4,83929677,Schubert_D960_mv2_8bars_1_16.wav,2,,,,6,6,7,1,2,5,2,2,5,3,3,3,6,6,5,5,5,3,2,5,6,2,2,2,75,
4,83929683,Schubert_D960_mv2_8bars_3_13.wav,6,,,,7,7,7,1,1,2,7,3,1,2,7,6,3,5,7,6,2,7,3,6,7,5,6,6,60,
4,83929686,Schubert_D960_mv2_8bars_1_07.wav,7,,6.0,,3,5,3,6,6,3,5,2,5,5,7,5,6,2,3,6,3,6,3,2,3,5,6,6,75,
4,83929690,Schubert_D960_mv2_8bars_1_09.wav,3,,,,2,5,2,5,6,7,2,2,6,7,5,2,3,2,2,2,5,2,2,1,2,3,2,2,45,
4,83929695,Schubert_D960_mv2_8bars_0_03.wav,2,,,,2,3,2,6,3,2,5,2,2,2,1,3,6,5,2,6,3,3,2,6,6,3,4,4,60,
4,83929700,Schubert_D960_mv2_8bars_5_06.wav,6,,,,2,6,3,6,5,2,6,2,2,2,6,6,6,3,6,6,2,2,2,5,5,6,6,6,60,
4,83929703,Schubert_D960_mv2_8bars_3_12.wav,2,,,,6,7,6,1,1,5,3,7,2,3,7,6,2,2,6,7,2,5,7,5,3,7,6,7,75,
4,83929706,Schubert_D960_mv2_8bars_5_08.wav,5,,,,2,1,1,6,5,6,2,3,6,6,2,2,1,3,2,3,6,2,3,2,3,2,3,1,60,
4,83929709,Schubert_D960_mv2_8bars_3_06.wav,2,,,,6,6,5,2,1,2,5,3,1,2,3,3,7,3,6,6,2,3,2,6,4,3,6,5,60,
4,83929712,Schubert_D960_mv2_8bars_3_01.wav,2,,,,7,7,7,1,1,2,7,6,2,1,7,7,7,6,7,7,1,5,6,7,5,7,6,7,45,
4,83929728,Schubert_D960_mv2_8bars_1_05.wav,5,,,,2,5,3,2,2,6,2,7,6,5,3,2,3,5,6,6,6,2,7,6,5,6,6,5,45,
4,83929731,Schubert_D960_mv2_8bars_1_14.wav,6,,,,2,6,2,6,6,6,2,2,5,3,2,3,5,5,2,2,6,2,3,5,4,3,3,3,45,
1,83929863,Schubert_D960_mv2_8bars_1_02.wav,1,6.0,,,1,1,1,1,4,1,1,1,1,2,2,2,2,2,1,1,5,2,1,3,2,1,1,1,45,감정을 절제하여 표현함이 느껴졌다.
1,83929864,Schubert_D960_mv2_8bars_5_05.wav,1,6.0,,,1,1,1,6,6,1,1,4,2,2,1,1,1,5,2,2,5,2,5,5,5,3,3,2,45,점점작아지며 없어지는 것 마저 여운을 남기듯 들렸다.
1,83929868,Schubert_D960_mv2_8bars_2_09.wav,1,3.0,,,2,2,2,2,4,2,3,3,2,6,5,3,4,2,3,5,2,4,3,2,5,5,5,3,45,"남성의 연주자의 연주같은  파워풀함이 느껴졌지만, 그게 다여서 아쉬웠고 오히려 둔탁하게 들렸다."
1,83929873,Schubert_D960_mv2_8bars_3_15.wav,1,2.0,,,2,3,6,4,1,1,3,2,2,2,5,3,4,4,3,5,1,3,3,5,3,5,6,2,45,오른손은 피아노를 꾹 느르고 있어 여운이 남았는데 왼손 베이스는 뚝뚝 끊기는 느낌을 받아 연결이 잘 안되는 듯한 느낌을 받았다
1,83929878,Schubert_D960_mv2_8bars_4_10.wav,1,6.0,,,1,1,1,1,6,6,1,1,6,6,1,1,1,5,1,1,5,1,1,1,1,1,1,1,45,"대가들의 음원을 1.25배 빠르기로 틀어놓은 듯한 느낌이었다. 너무 좋았지만, 너무 서두른 느낌이 있었다."
1,83929883,Schubert_D960_mv2_8bars_1_04.wav,1,6.0,,,3,3,3,1,3,1,4,2,2,2,3,3,3,3,1,1,1,3,1,3,3,1,1,4,45,굉장히 평범한 연주였다.
1,83929886,Schubert_D960_mv2_8bars_1_11.wav,1,6.0,,,1,1,1,1,3,1,1,5,1,5,2,2,2,5,2,2,5,2,3,3,2,2,2,2,45,"에너지는 부족했지만, 압도감이 느껴졌다. 굳이 크게 빠르게 세게 치지 않아도 음악으로서 압도하는 무언가 있었다."
1,83933093,Schubert_D960_mv2_8bars_4_12.wav,2,,,,3,3,3,3,3,1,6,3,3,2,6,5,4,2,4,5,1,5,5,4,4,5,5,2,45,베이스의 소리가 너무 커서 조화가 잘 안되는 것 같다.
2,83934448,Schubert_D960_mv2_8bars_Score_10.wav,7,,1.0,6.0,1,2,2,5,4,1,3,4,2,6,2,5,4,1,2,2,1,4,1,2,3,6,5,5,45,질문이 애매한것들이 있는것 같다.
4,83934940,Schubert_D960_mv2_8bars_3_16.wav,6,,,,2,6,6,6,2,3,3,2,2,2,3,3,6,7,2,3,5,5,2,6,6,3,6,5,45,
4,83934941,Schubert_D960_mv2_8bars_2_14.wav,2,,,,2,6,3,2,3,2,2,2,3,3,6,6,5,4,6,5,1,5,2,2,3,7,5,5,75,
4,83934946,Schubert_D960_mv2_8bars_0_01.wav,5,,,,2,2,2,3,3,1,5,6,6,3,2,3,6,3,2,2,5,2,6,6,6,2,3,2,60,
4,83934951,Schubert_D960_mv2_8bars_2_03.wav,6,,,,2,6,2,3,5,5,3,2,5,5,3,3,2,2,6,2,5,6,2,3,4,5,5,6,60,
4,83934955,Schubert_D960_mv2_8bars_4_05.wav,7,,2.0,,2,2,1,7,6,2,2,7,7,7,2,2,1,6,2,2,6,2,7,3,2,2,2,2,90,
4,83934958,Schubert_D960_mv2_8bars_1_02.wav,3,,,,2,6,6,2,2,7,1,5,7,7,2,2,1,1,2,3,6,2,5,1,1,2,2,1,75,
4,83934959,Schubert_D960_mv2_8bars_5_05.wav,5,,,,1,1,3,3,3,6,5,6,6,5,2,2,3,7,2,1,6,2,6,5,5,2,2,2,45,
4,83934961,Schubert_D960_mv2_8bars_2_09.wav,1,2.0,,,7,7,7,1,2,1,7,3,1,6,7,6,6,1,7,6,1,7,2,1,2,7,6,6,75,
4,83934962,Schubert_D960_mv2_8bars_3_15.wav,6,,,,7,6,7,1,2,2,6,6,2,2,6,6,5,6,7,7,1,6,6,6,5,6,6,6,60,
4,83934964,Schubert_D960_mv2_8bars_4_10.wav,6,,,,2,6,2,6,6,2,5,2,3,3,6,6,6,2,7,2,5,5,2,3,3,6,6,6,45,
4,83934969,Schubert_D960_mv2_8bars_1_04.wav,2,,,,3,6,3,3,3,7,2,2,7,6,3,2,1,1,5,3,5,2,2,2,2,3,2,2,45,
0,83935312,Schubert_D960_mv2_8bars_2_03.wav,6,,,,3,5,3,5,5,3,5,3,3,3,5,6,6,5,5,5,3,5,3,6,6,6,6,6,130,
1,83935318,Schubert_D960_mv2_8bars_4_05.wav,2,,,,5,3,1,2,3,1,1,3,1,2,2,2,2,5,1,2,5,1,3,3,3,2,2,2,45,정말 좋은 연주었다. 감정표현이 정말 좋았다. 절제되어 있어 더 고스란히 느껴지고 전달되었다.
0,83942178,Schubert_D960_mv2_8bars_1_02.wav,6,,,,6,5,5,3,5,3,5,3,3,3,6,6,6,3,6,6,2,6,3,4,6,6,6,6,130,
0,83942181,Schubert_D960_mv2_8bars_5_05.wav,2,,,,3,2,2,6,6,3,5,6,2,3,2,2,6,5,2,3,5,3,6,6,6,3,2,2,130,
0,83942183,Schubert_D960_mv2_8bars_2_09.wav,3,,,,3,6,2,3,1,6,2,3,6,6,3,2,2,2,5,2,6,2,2,1,2,3,5,2,130,
0,83942186,Schubert_D960_mv2_8bars_3_15.wav,3,,,,3,7,7,1,2,2,6,2,3,5,5,5,3,3,6,6,1,6,2,2,3,6,7,7,140,
0,83942194,Schubert_D960_mv2_8bars_4_10.wav,3,,,,3,2,2,6,5,5,2,3,3,3,5,4,5,3,3,3,5,3,3,5,5,3,3,3,100,
